id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1193218,2024-01-04,000001,Vente,1042000,4,,VLA PERREUR,7288,75020,75120,Paris 20e Arrondissement,75,,,75120000BM0133,,,147,,99,,,,,,,,2,2,Appartement,86,4,,,,,,2.405228,48.868216
2024-1193218,2024-01-04,000001,Vente,1042000,4,,VLA PERREUR,7288,75020,75120,Paris 20e Arrondissement,75,,,75120000BM0133,,,147,,99,,,,,,,,2,3,Dépendance,,0,,,,,,2.405228,48.868216
2024-1193218,2024-01-04,000001,Vente,1042000,16,,RUE DE LA DHUIS,2786,75020,75120,Paris 20e Arrondissement,75,,,75120000BM0133,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.405228,48.868216
2024-1193218,2024-01-04,000001,Vente,1042000,16,,RUE DE LA DHUIS,2786,75020,75120,Paris 20e Arrondissement,75,,,75120000BM0133,,,40,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.405228,48.868216
2024-1193218,2024-01-04,000001,Vente,1042000,4,,VLA PERREUR,7288,75020,75120,Paris 20e Arrondissement,75,,,75120000BM0133,,,147,,99,,,,,,,,2,3,Dépendance,,0,,,,,,2.405228,48.868216
2024-1193219,2024-01-04,000001,Vente,299120,17,B,RUE DU ROI D ALGER,8314,75018,75118,Paris 18e Arrondissement,75,,,75118000BF0053,,,20,36.88,21,,,,,,,,2,2,Appartement,36,3,,,,,,2.347665,48.895338
2024-1193220,2024-01-03,000001,Vente,426471,166,,AV PARMENTIER,7067,75010,75110,Paris 10e Arrondissement,75,,,75110000BJ0060,,,22,,,,,,,,,,1,2,Appartement,42,1,,,,,,2.370282,48.871532
2024-1193221,2024-01-08,000001,Vente,778000,76,,RUE VIEILLE DU TEMPLE,9783,75003,75103,Paris 3e Arrondissement,75,,,75103000AP0026,,,114,,,,,,,,,,1,2,Appartement,60,3,,,,,,2.36051,48.859577
2024-1193221,2024-01-08,000001,Vente,778000,76,,RUE VIEILLE DU TEMPLE,9783,75003,75103,Paris 3e Arrondissement,75,,,75103000AP0026,,,130,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.36051,48.859577
2024-1193221,2024-01-08,000001,Vente,778000,76,,RUE VIEILLE DU TEMPLE,9783,75003,75103,Paris 3e Arrondissement,75,,,75103000AP0026,,,130,,,,,,,,,,1,2,Appartement,63,3,,,,,,2.36051,48.859577
